MSZoning,GrLivArea,Utilities,OverallQual,YearBuilt,TotalBsmtSF,Heating,HeatingQC,CentralAir,FullBath,BedroomAbvGr,KitchenAbvGr,GarageCars,PoolArea,SalePrice
RL,1710,AllPub,7,2003,856,GasA,Ex,Y,2,3,1,2,0,208500
RL,1262,AllPub,6,1976,1262,GasA,Ex,Y,2,3,1,2,0,181500
RL,1786,AllPub,7,2001,920,GasA,Ex,Y,2,3,1,2,0,223500
RL,1717,AllPub,7,1915,756,GasA,Gd,Y,1,3,1,3,0,140000
RL,2198,AllPub,8,2000,1145,GasA,Ex,Y,2,4,1,3,0,250000
RL,1362,AllPub,5,1993,796,GasA,Ex,Y,1,1,1,2,0,143000
RL,1694,AllPub,8,2004,1686,GasA,Ex,Y,2,3,1,2,0,307000
RL,2090,AllPub,7,1973,1107,GasA,Ex,Y,2,3,1,2,0,200000
RM,1774,AllPub,7,1931,952,GasA,Gd,Y,2,2,2,2,0,129900
RL,1077,AllPub,5,1939,991,GasA,Ex,Y,1,2,2,1,0,118000
RL,1040,AllPub,5,1965,1040,GasA,Ex,Y,1,3,1,1,0,129500
RL,2324,AllPub,9,2005,1175,GasA,Ex,Y,3,4,1,3,0,345000
RL,912,AllPub,5,1962,912,GasA,TA,Y,1,2,1,1,0,144000
RL,1494,AllPub,7,2006,1494,GasA,Ex,Y,2,3,1,3,0,279500
RL,1253,AllPub,6,1960,1253,GasA,TA,Y,1,2,1,1,0,157000
RM,854,AllPub,7,1929,832,GasA,Ex,Y,1,2,1,2,0,132000
RL,1004,AllPub,6,1970,1004,GasA,Ex,Y,1,2,1,2,0,149000
RL,1296,AllPub,4,1967,0,GasA,TA,Y,2,2,2,2,0,90000
RL,1114,AllPub,5,2004,1114,GasA,Ex,Y,1,3,1,2,0,159000
RL,1339,AllPub,5,1958,1029,GasA,TA,Y,1,3,1,1,0,139000
RL,2376,AllPub,8,2005,1158,GasA,Ex,Y,3,4,1,3,0,325300
RM,1108,AllPub,7,1930,637,GasA,Ex,Y,1,3,1,1,0,139400
RL,1795,AllPub,8,2002,1777,GasA,Ex,Y,2,3,1,2,0,230000
RM,1060,AllPub,5,1976,1040,GasA,TA,Y,1,3,1,2,0,129900
RL,1060,AllPub,5,1968,1060,GasA,Ex,Y,1,3,1,1,0,154000
RL,1600,AllPub,8,2007,1566,GasA,Ex,Y,2,3,1,3,0,256300
RL,900,AllPub,5,1951,900,GasA,TA,Y,1,3,1,2,0,134800
RL,1704,AllPub,8,2007,1704,GasA,Ex,Y,2,3,1,3,0,306000
RL,1600,AllPub,5,1957,1484,GasA,TA,Y,1,2,1,1,0,207500
RM,520,AllPub,4,1927,520,GasA,Fa,N,1,1,1,1,0,68500
C (all),1317,AllPub,4,1920,649,GasA,TA,N,1,3,1,1,0,40000
RL,1228,AllPub,5,1966,1228,GasA,Gd,Y,1,3,1,1,0,149350
RL,1234,AllPub,8,2007,1234,GasA,Ex,Y,2,3,1,2,0,179900
RL,1700,AllPub,5,1959,1398,GasA,,Y,1,4,1,2,0,165500
RL,1561,AllPub,9,2005,1561,GasA,Ex,Y,2,2,1,2,0,277500
RL,2452,AllPub,8,2004,1117,GasA,Ex,Y,3,4,1,3,0,309000
RL,1097,AllPub,5,1994,1097,GasA,Ex,Y,1,3,1,2,0,145000
